thai sentence,english sentence,thai phoneme,english phoneme
คุณมีคำแนะนำอะไรบ้างสำหรับผู้ที่เริ่มต้นเรียนภาษาไทย,Do you have any advice for those starting to learn Thai?,kʰ u n _ m iː _ kʰ a m n ɛ4 n a m _ ʔ a2 r a j _ b aː3 ŋ _ s a5 m r a2 p _ pʰ uː3 _ tʰ iː3 _ r ɤː3 m t o3 n _ r iːa n _ pʰ aː s aː5 tʰ a j,d uː _ j uː _ h æ v _ ɛ n i _ ɐ d v aɪ s _ f ɔːɹ _ ð oʊ z _ s t ɑːɹ ɾ ɪ ŋ _ t ə _ l ɜː n _ t aɪ ?
เขากำลังคิดเกี่ยวกับการเปลี่ยนอาชีพเพื่อหาความท้าทายใหม่,He is thinking about changing careers to find new challenges.,kʰ a5 w _ k a m l a ŋ _ kʰ i4 t _ k iːa2 w k a2 p _ k aː n _ pl iːa2 n _ ʔ aː cʰ iː3 p _ pʰ ɯːa3 _ h aː5 kʰw aː m _ tʰ aː4 tʰ aː j _ m a2 j,h iː _ ɪ z _ θ ɪ ŋ k ɪ ŋ _ ɐ b aʊ t _ tʃ eɪ n dʒ ɪ ŋ _ k ɚ ɹ ɪɹ z _ t ə _ f aɪ n d _ n uː _ tʃ æ l ɪ n dʒ ᵻ z .
เราควรนัดพบกันอีกครั้งเพื่อหารือรายละเอียดเพิ่มเติม,We should meet again to discuss further details.,r a w _ kʰ uːa n _ n a4 t pʰ o4 p _ k a n _ ʔ iː2 k _ kʰr a4 ŋ _ pʰ ɯːa3 _ h aː5 r ɯː _ r aː j l a4 ʔ iːa2 t _ pʰ ɤː3 m t ɤː m,w iː _ ʃ ʊ d _ m iː t _ ɐ ɡ ɛ n _ t ə _ d ɪ s k ʌ s _ f ɜː ð ɚ _ d iː t eɪ l z .
ฉันรู้สึกขอบคุณมากที่คุณสละเวลามาช่วยเหลือฉัน,I'm very grateful that you took the time to help me.,cʰ a5 n _ r uː4 s ɯ2 k _ kʰ ᴐː2 p kʰ u n _ m aː3 k _ tʰ iː3 _ kʰ u n _ s a2 l a2 _ w eː l aː _ m aː _ cʰ uːa3 j l ɯːa5 _ cʰ a5 n,aɪ m _ v ɛ ɹ i _ ɡ ɹ eɪ t f əl _ ð æ t _ j uː _ t ʊ k _ ð ə _ t aɪ m _ t ə _ h ɛ l p _ m iː .
ถ้าคุณต้องการเราสามารถจัดการประชุมทางวิดีโอได้,"If you want, we can arrange a video conference.",tʰ aː3 _ kʰ u n _ t ᴐː3 ŋ k aː n _ r a w _ s aː5 m aː3 t _ c a2 t k aː n _ pr a2 cʰ u m _ tʰ aː ŋ _ w i4 d iː ʔ oː _ d aː3 j,"ɪ f _ j uː _ w ɑː n t , _ w iː _ k æ n _ ɐ ɹ eɪ n dʒ _ ɐ _ v ɪ d ɪ oʊ _ k ɑː n f ɹ ə n s ."
ผมคิดว่าเราควรพักผ่อนบ้างหลังจากทำงานหนักมาทั้งวัน,I think we should rest after working hard all day.,pʰ o5 m _ kʰ i4 t _ w aː3 _ r a w _ kʰ uːa n _ pʰ a4 k pʰ ᴐː2 n _ b aː3 ŋ _ l a5 ŋ c aː2 k _ tʰ a m ŋ aː n _ n a2 k _ m aː _ tʰ a4 ŋ _ w a n,aɪ _ θ ɪ ŋ k _ w iː _ ʃ ʊ d _ ɹ ɛ s t _ æ f t ɚ _ w ɜː k ɪ ŋ _ h ɑːɹ d _ ɔː l _ d eɪ .
คุณชอบภาพยนตร์เรื่องนี้ไหม ฉันคิดว่ามันน่าสนใจมาก,Did you like this movie? I thought it was very interesting.,kʰ u n _ cʰ ᴐː3 p _ pʰ aː3 p pʰ a4 j o n _ r ɯːa3 ŋ _ n iː4 _ m a5 j _ cʰ a5 n _ kʰ i4 t _ w aː3 _ m a n _ n aː3 s o5 n c a j _ m aː3 k,d ɪ d _ j uː _ l aɪ k _ ð ɪ s _ m uː v i ? _ aɪ _ θ ɔː t _ ɪ t _ w ʌ z _ v ɛ ɹ i _ ɪ n t ɹ ə s t ɪ ŋ .
ถ้าเรามีความตั้งใจเราก็จะสามารถบรรลุเป้าหมายได้,"If we have determination, we can achieve our goals.",tʰ aː3 _ r a w _ m iː _ kʰw aː m _ t a3 ŋ c a j _ r a w _ k ᴐː3 _ c a2 _ s aː5 m aː3 t _ b a n l u4 p a3 w m aː5 j _ d aː3 j,"ɪ f _ w iː _ h æ v _ d ɪ t ɜː m ᵻ n eɪ ʃ ə n , _ w iː _ k æ n _ ɐ tʃ iː v _ aʊ ɚ _ ɡ oʊ l z ."
ฉันต้องการซื้อตั๋วรถไฟไปเชียงใหม่สองใบสำหรับพรุ่งนี้,I need to buy two train tickets to Chiang Mai for tomorrow.,cʰ a5 n _ t ᴐː3 ŋ k aː n _ s ɯː4 _ t uːa5 _ r o4 t f a j _ p a j _ cʰ iːa ŋ m a2 j _ s ᴐː5 ŋ _ b a j _ s a5 m r a2 p _ pʰr u3 ŋ n iː4,aɪ _ n iː d _ t ə _ b aɪ _ t uː _ t ɹ eɪ n _ t ɪ k ɪ t s _ t ə _ tʃ j æ ŋ _ m aɪ _ f ɔːɹ _ t ə m ɔː ɹ oʊ .
เธอกำลังวางแผนจัดงานเลี้ยงวันเกิดให้กับเพื่อนสนิท,She is planning a birthday party for her close friend.,tʰ ɤː _ k a m l a ŋ _ w aː ŋ pʰ ɛː5 n _ c a2 t _ ŋ aː n l iːa4 ŋ _ w a n k ɤː2 t _ h a3 j _ k a2 p _ pʰ ɯːa3 n s a2 n i2 t,ʃ iː _ ɪ z _ p l æ n ɪ ŋ _ ɐ _ b ɜː θ d eɪ _ p ɑːɹ ɾ i _ f ɔːɹ _ h ɜː _ k l oʊ s _ f ɹ ɛ n d .
เราควรตรวจสอบข้อมูลอีกครั้งเพื่อความแน่ใจก่อนส่งมอบ,We should double-check the information before delivering.,r a w _ kʰ uːa n _ tr uːa2 t s ᴐː2 p _ kʰ ᴐː3 m uː n _ ʔ iː2 k _ kʰr a4 ŋ _ pʰ ɯːa3 _ kʰw aː m _ n ɛː3 c a j _ k ᴐː2 n _ s o2 ŋ m ᴐː3 p,w iː _ ʃ ʊ d _ d ʌ b əl tʃ ɛ k _ ð ɪ _ ɪ n f ɚ m eɪ ʃ ə n _ b ɪ f oːɹ _ d ɪ l ɪ v ɚ ɹ ɪ ŋ .
ผมหวังว่าจะได้พบคุณอีกครั้งในโอกาสหน้า,I hope to see you again next time.,pʰ o5 m _ w a5 ŋ _ w aː3 _ c a2 _ d aː3 j _ pʰ o4 p _ kʰ u n _ ʔ iː2 k _ kʰr a4 ŋ _ n a j _ ʔ oː k aː2 t _ n aː3,aɪ _ h oʊ p _ t ə _ s iː _ j uː _ ɐ ɡ ɛ n _ n ɛ k s t _ t aɪ m .
เมื่อวานนี้ฉันไปตลาดและซื้อผลไม้สดจำนวนมากเพราะราคาถูกกว่าปกติ,Yesterday I went to the market and bought a lot of fresh fruits because they were cheaper than usual,m ɯːa3 w aː n n iː4 _ cʰ a5 n _ p a j _ t a2 l aː2 t _ l ɛ4 _ s ɯː4 _ pʰ o5 n l a4 m aː4 j _ s o2 t _ c a m n uːa n _ m aː3 k _ pʰr ᴐ4 _ r aː kʰ aː _ tʰ uː2 k _ kw aː2 _ p o2 k k a2 t i2,j ɛ s t ɚ d eɪ _ aɪ _ w ɛ n t _ t ə _ ð ə _ m ɑːɹ k ɪ t _ æ n d _ b ɔː t _ ɐ _ l ɑː t _ ʌ v _ f ɹ ɛ ʃ _ f ɹ uː t s _ b ɪ k ʌ z _ ð eɪ _ w ɜː _ tʃ iː p ɚ _ ð ɐ n _ j uː ʒ uː əl
ถ้าคุณมีเวลาว่างในสุดสัปดาห์นี้ เราไปเดินเล่นที่สวนสาธารณะกันไหม,"If you have free time this weekend, shall we go for a walk in the park?",tʰ aː3 _ kʰ u n _ m iː _ w eː l aː w aː3 ŋ _ n a j _ s u2 t s a2 p d aː _ n iː4 _ r a w _ p a j _ d ɤː n l eː3 n _ tʰ iː3 _ s uːa5 n s aː5 tʰ aː r a4 n a4 _ k a n _ m a5 j,"ɪ f _ j uː _ h æ v _ f ɹ iː _ t aɪ m _ ð ɪ s _ w iː k ɛ n d , _ ʃ æ l _ w iː _ ɡ oʊ _ f ɚ ɹ ə _ w ɔː k _ ɪ n ð ə _ p ɑːɹ k ?"
แม้ว่าฝนจะตกหนัก แต่เขาก็ยังคงออกไปวิ่งตามปกติทุกเช้า,"Even though it's raining heavily, he still goes out for his regular morning run",m ɛː4 w aː3 _ f o5 n _ c a2 _ t o2 k n a2 k _ t ɛː2 _ kʰ a5 w _ k ᴐː3 _ j a ŋ kʰ o ŋ _ ʔ ᴐː2 k _ p a j _ w i3 ŋ _ t aː m p o2 k k a2 t i2 _ tʰ u4 k _ cʰ a4 w,"iː v ə n _ ð oʊ _ ɪ t s _ ɹ eɪ n ɪ ŋ _ h ɛ v i l i , _ h iː _ s t ɪ l _ ɡ oʊ z _ aʊ t _ f ɔːɹ _ h ɪ z _ ɹ ɛ ɡ j uː l ɚ _ m ɔːɹ n ɪ ŋ _ ɹ ʌ n"
ฉันชอบฟังเพลงขณะทำงานเพราะมันช่วยให้ฉันมีสมาธิมากขึ้น,I like to listen to music while working because it helps me concentrate more,cʰ a5 n _ cʰ ᴐː3 p _ f a ŋ _ pʰl eː ŋ _ kʰ a2 n a2 _ tʰ a m ŋ aː n _ pʰr ᴐ4 _ m a n _ cʰ uːa3 j _ h a3 j _ cʰ a5 n _ m iː _ s a2 m aː tʰ i4 _ m aː3 k _ kʰ ɯ3 n,aɪ _ l aɪ k _ t ə _ l ɪ s ə n _ t ə _ m j uː z ɪ k _ w aɪ l _ w ɜː k ɪ ŋ _ b ɪ k ʌ z _ ɪ t _ h ɛ l p s _ m iː _ k ɑː n s ə n t ɹ eɪ t _ m oːɹ
เพื่อนของฉันกำลังเรียนภาษาญี่ปุ่นเพื่อเตรียมตัวไปเที่ยวที่โตเกียว,My friend is studying Japanese to prepare for a trip to Tokyo,pʰ ɯːa3 n _ kʰ ᴐː5 ŋ _ cʰ a5 n _ k a m l a ŋ _ r iːa n _ pʰ aː s aː5 _ j iː3 p u2 n _ pʰ ɯːa3 _ tr iːa m t uːa _ p a j _ tʰ iːa3 w _ tʰ iː3 _ t oː k iːa w,m aɪ _ f ɹ ɛ n d _ ɪ z _ s t ʌ d ɪ ɪ ŋ _ dʒ æ p ə n iː z _ t ə _ p ɹ ɪ p ɛɹ _ f ɚ ɹ ə _ t ɹ ɪ p _ t ə _ t oʊ k ɪ oʊ
เมื่อไหร่ที่คุณว่าง เราควรนัดพบกันเพื่อหารือเกี่ยวกับโครงการนี้,"Whenever you're free, we should meet to discuss this project",m ɯːa3 r a2 j _ tʰ iː3 _ kʰ u n _ w aː3 ŋ _ r a w _ kʰ uːa n _ n a4 t pʰ o4 p _ k a n _ pʰ ɯːa3 _ h aː5 r ɯː _ k iːa2 w k a2 p _ kʰr oː ŋ k aː n _ n iː4,"w ɛ n ɛ v ɚ _ j ʊɹ _ f ɹ iː , _ w iː _ ʃ ʊ d _ m iː t _ t ə _ d ɪ s k ʌ s _ ð ɪ s _ p ɹ ɑː dʒ ɛ k t"
ถ้าเราไม่รีบออกตอนนี้ เราอาจจะสายสำหรับการประชุมสำคัญ,"If we don't leave now, we might be late for the important meeting",tʰ aː3 _ r a w _ m a3 j _ r iː3 p _ ʔ ᴐː2 k _ t ᴐː n n iː4 _ r a w _ ʔ aː2 t _ c a2 _ s aː5 j _ s a5 m r a2 p _ k aː n _ pr a2 cʰ u m _ s a5 m kʰ a n,"ɪ f _ w iː _ d oʊ n t _ l iː v _ n aʊ , _ w iː _ m aɪ t _ b iː _ l eɪ t _ f ɚ ð ɪ _ ɪ m p oːɹ t ə n t _ m iː ɾ ɪ ŋ"
เธอได้ยินข่าวดีหรือยัง ว่าเราจะได้รับโบนัสพิเศษเดือนนี้,Have you heard the good news that we will receive a special bonus this month?,tʰ ɤː _ d aː3 j j i n _ kʰ aː2 w _ d iː _ r ɯː5 j a ŋ _ w aː3 _ r a w _ c a2 _ d aː3 j r a4 p _ b oː n a4 t _ pʰ i4 s eː2 t _ d ɯːa n _ n iː4,h æ v _ j uː _ h ɜː d _ ð ə _ ɡ ʊ d _ n uː z _ ð æ t _ w iː _ w ɪ l _ ɹ ɪ s iː v _ ɐ _ s p ɛ ʃ əl _ b oʊ n ə s _ ð ɪ s _ m ʌ n θ ?
ฉันต้องไปส่งรถเข้าศูนย์บริการเพราะเครื่องยนต์มีปัญหาเล็กน้อย,I need to take my car to the service center because the engine has a minor issue,cʰ a5 n _ t ᴐː3 ŋ _ p a j _ s o2 ŋ _ r o4 t _ kʰ a3 w _ s uː5 n _ b ᴐː r i4 k aː n _ pʰr ᴐ4 _ kʰr ɯːa3 ŋ j o n _ m iː _ p a n h aː5 _ l e4 k n ᴐː4 j,aɪ _ n iː d _ t ə _ t eɪ k _ m aɪ _ k ɑːɹ _ t ə _ ð ə _ s ɜː v ɪ s _ s ɛ n t ɚ _ b ɪ k ʌ z _ ð ɪ _ ɛ n dʒ ɪ n _ h ɐ z _ ɐ _ m aɪ n ɚ ɹ _ ɪ ʃ uː
การออกกำลังกายสม่ำเสมอเป็นสิ่งสำคัญสำหรับสุขภาพที่ดี,Regular exercise is important for good health,k aː n _ ʔ ᴐː2 k k a m l a ŋ k aː j _ s a2 m a2 m s a2 m ɤː5 _ p e n _ s i2 ŋ _ s a5 m kʰ a n _ s a5 m r a2 p _ s u2 k kʰ a2 pʰ aː3 p _ tʰ iː3 _ d iː,ɹ ɛ ɡ j uː l ɚ ɹ _ ɛ k s ɚ s aɪ z _ ɪ z _ ɪ m p oːɹ t ə n t _ f ɔːɹ _ ɡ ʊ d _ h ɛ l θ
พรุ่งนี้ถ้าอากาศดี เราไปปิกนิกที่ชายหาดกันเถอะ,"If the weather is good tomorrow, let's go for a picnic at the beach",pʰr u3 ŋ n iː4 _ tʰ aː3 _ ʔ aː k aː2 t _ d iː _ r a w _ p a j _ p i2 k n i4 k _ tʰ iː3 _ cʰ aː j h aː2 t _ k a n _ tʰ ɤ2,"ɪ f _ ð ə _ w ɛ ð ɚ ɹ _ ɪ z _ ɡ ʊ d _ t ə m ɔː ɹ oʊ , _ l ɛ t s _ ɡ oʊ _ f ɚ ɹ ə _ p ɪ k n ɪ k _ æ t _ ð ə _ b iː tʃ"
เขากำลังอ่านหนังสือเล่มใหม่ที่เพิ่งซื้อมาและดูเหมือนว่าจะน่าสนใจมาก,"He is reading a new book he just bought, and it seems very interesting",kʰ a5 w _ k a m l a ŋ _ ʔ aː2 n n a5 ŋ s ɯː5 _ l eː3 m _ m a2 j _ tʰ iː3 _ pʰ ɤː3 ŋ _ s ɯː4 _ m aː _ l ɛ4 _ d uː m ɯːa5 n w aː3 _ c a2 _ n aː3 s o5 n c a j _ m aː3 k,"h iː _ ɪ z _ ɹ iː d ɪ ŋ _ ɐ _ n uː _ b ʊ k _ h iː _ dʒ ʌ s t _ b ɔː t , _ æ n d _ ɪ t _ s iː m z _ v ɛ ɹ i _ ɪ n t ɹ ə s t ɪ ŋ"
แม้ว่างานนี้จะยาก แต่ฉันเชื่อว่าเราจะทำเสร็จได้ทันเวลา,"Although this task is difficult, I believe we can finish it on time",m ɛː4 w aː3 _ ŋ aː n _ n iː4 _ c a2 _ j aː3 k _ t ɛː2 _ cʰ a5 n _ cʰ ɯːa3 _ w aː3 _ r a w _ c a2 _ tʰ a m _ s e2 t _ d aː3 j _ tʰ a n w eː l aː,"ɑː l ð oʊ _ ð ɪ s _ t æ s k _ ɪ z _ d ɪ f ɪ k əl t , _ aɪ _ b ɪ l iː v _ w iː _ k æ n _ f ɪ n ɪ ʃ _ ɪ t _ ɑː n _ t aɪ m"
คุณควรลองร้านอาหารใหม่ที่เปิดตรงมุมถนน อาหารอร่อยมาก,You should try the new restaurant that opened on the corner; the food is very delicious,kʰ u n _ kʰ uːa n _ l ᴐː ŋ _ r aː4 n ʔ aː h aː5 n _ m a2 j _ tʰ iː3 _ p ɤː2 t _ tr o ŋ _ m u m _ tʰ a2 n o5 n _ ʔ aː h aː5 n _ ʔ a2 r ᴐː2 j _ m aː3 k,j uː _ ʃ ʊ d _ t ɹ aɪ _ ð ə _ n uː _ ɹ ɛ s t ɹ ɑː n t _ ð æ t _ oʊ p ə n d _ ɑː n ð ə _ k ɔːɹ n ɚ ; _ ð ə _ f uː d _ ɪ z _ v ɛ ɹ i _ d ɪ l ɪ ʃ ə s
เธอสามารถช่วยฉันทำการบ้านได้ไหม เพราะฉันไม่เข้าใจบางส่วน,Can you help me with my homework because I don't understand some parts,tʰ ɤː _ s aː5 m aː3 t _ cʰ uːa3 j _ cʰ a5 n _ tʰ a m k aː n b aː3 n _ d aː3 j _ m a5 j _ pʰr ᴐ4 _ cʰ a5 n _ m a3 j _ kʰ a3 w c a j _ b aː ŋ _ s uːa2 n,k æ n _ j uː _ h ɛ l p _ m iː _ w ɪ ð _ m aɪ _ h oʊ m w ɜː k _ b ɪ k ʌ z _ aɪ _ d oʊ n t _ ʌ n d ɚ s t æ n d _ s ʌ m _ p ɑːɹ t s
เมื่อถึงฤดูหนาว อากาศจะเย็นสบายและเหมาะสำหรับการเดินทาง,"When winter arrives, the weather becomes cool and suitable for traveling",m ɯːa3 _ tʰ ɯ5 ŋ _ r ɯ4 d uː n aː5 w _ ʔ aː k aː2 t _ c a2 _ j e n s a2 b aː j _ l ɛ4 _ m ᴐ2 _ s a5 m r a2 p _ k aː n _ d ɤː n tʰ aː ŋ,"w ɛ n _ w ɪ n t ɚ ɹ _ ɐ ɹ aɪ v z , _ ð ə _ w ɛ ð ɚ _ b ɪ k ʌ m z _ k uː l _ æ n d _ s uː ɾ ə b əl _ f ɔːɹ _ t ɹ æ v ə l ɪ ŋ"
เราควรเริ่มประหยัดเงินตั้งแต่ตอนนี้เพื่ออนาคตที่มั่นคง,We should start saving money from now for a stable future,r a w _ kʰ uːa n _ r ɤː3 m _ pr a2 j a2 t _ ŋ ɤ n _ t a3 ŋ t ɛː2 _ t ᴐː n n iː4 _ pʰ ɯːa3 _ ʔ a2 n aː kʰ o4 t _ tʰ iː3 _ m a3 n kʰ o ŋ,w iː _ ʃ ʊ d _ s t ɑːɹ t _ s eɪ v ɪ ŋ _ m ʌ n i _ f ɹ ʌ m _ n aʊ _ f ɚ ɹ ə _ s t eɪ b əl _ f j uː tʃ ɚ
ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีคำแนะนำไหม,I'm looking for a special gift for my mother's birthday; do you have any suggestions?,cʰ a5 n _ k a m l a ŋ _ m ᴐː ŋ h aː5 _ kʰ ᴐː5 ŋ kʰw a5 n _ pʰ i4 s eː2 t _ s a5 m r a2 p _ w a n k ɤː2 t _ kʰ ᴐː5 ŋ _ m ɛː3 _ kʰ u n _ m iː _ kʰ a m n ɛ4 n a m _ m a5 j,aɪ m _ l ʊ k ɪ ŋ _ f ɚ ɹ ə _ s p ɛ ʃ əl _ ɡ ɪ f t _ f ɔːɹ _ m aɪ _ m ʌ ð ɚ z _ b ɜː θ d eɪ ; _ d uː _ j uː _ h æ v _ ɛ n i _ s ə dʒ ɛ s tʃ ə n z ?
หากคุณตั้งใจเรียนและไม่ยอมแพ้ คุณจะประสบความสำเร็จแน่นอน,"If you study hard and don't give up, you will surely succeed",h aː2 k _ kʰ u n _ t a3 ŋ c a j _ r iːa n _ l ɛ4 _ m a3 j _ j ᴐː m pʰ ɛː4 _ kʰ u n _ c a2 _ pr a2 s o2 p kʰw aː m s a5 m r e2 t _ n ɛː3 n ᴐː n,"ɪ f _ j uː _ s t ʌ d i _ h ɑːɹ d _ æ n d _ d oʊ n t _ ɡ ɪ v _ ʌ p , _ j uː _ w ɪ l _ ʃ ʊɹ l i _ s ə k s iː d"
เมื่อรถไฟมาถึงสถานี เราต้องรีบขึ้นเพราะมีผู้โดยสารเยอะ,"When the train arrives at the station, we must hurry to board because there are many passengers",m ɯːa3 _ r o4 t f a j _ m aː _ tʰ ɯ5 ŋ _ s a2 tʰ aː5 n iː _ r a w _ t ᴐː3 ŋ _ r iː3 p _ kʰ ɯ3 n _ pʰr ᴐ4 _ m iː _ pʰ uː3 d oː j s aː5 n _ j ɤ4,"w ɛ n _ ð ə _ t ɹ eɪ n _ ɐ ɹ aɪ v z _ æ t _ ð ə _ s t eɪ ʃ ə n , _ w iː _ m ʌ s t _ h ɜː ɹ i _ t ə _ b oːɹ d _ b ɪ k ʌ z _ ð ɛ ɹ ɑːɹ _ m ɛ n i _ p æ s ɪ n dʒ ɚ z"
ฉันเพิ่งทราบข่าวว่าเพื่อนเก่าสมัยมัธยมกำลังจะแต่งงาน,I just heard the news that an old high school friend is getting married,cʰ a5 n _ pʰ ɤː3 ŋ _ s aː3 p _ kʰ aː2 w _ w aː3 _ pʰ ɯːa3 n _ k a2 w _ s a2 m a5 j _ m a4 t tʰ a4 j o m _ k a m l a ŋ _ c a2 _ t ɛː2 ŋ ŋ aː n,aɪ _ dʒ ʌ s t _ h ɜː d _ ð ə _ n uː z _ ð æ t ə n _ oʊ l d _ h aɪ _ s k uː l _ f ɹ ɛ n d _ ɪ z _ ɡ ɛ ɾ ɪ ŋ _ m æ ɹ ɪ d
แมวของฉันชอบนั่งริมหน้าต่างและมองดูนกที่บินผ่านไปมา,My cat likes to sit by the window and watch the birds flying by,m ɛː w _ kʰ ᴐː5 ŋ _ cʰ a5 n _ cʰ ᴐː3 p _ n a3 ŋ _ r i m _ n aː3 t aː2 ŋ _ l ɛ4 _ m ᴐː ŋ d uː _ n o4 k _ tʰ iː3 _ b i n _ pʰ aː2 n _ p a j m aː,m aɪ _ k æ t _ l aɪ k s _ t ə _ s ɪ t _ b aɪ _ ð ə _ w ɪ n d oʊ _ æ n d _ w ɑː tʃ _ ð ə _ b ɜː d z _ f l aɪ ɪ ŋ _ b aɪ
คุณสนใจเข้าร่วมกิจกรรมวิ่งการกุศลที่จะจัดขึ้นในเดือนหน้าหรือไม่,Are you interested in joining the charity run that will be held next month?,kʰ u n _ s o5 n c a j _ kʰ a3 w _ r uːa3 m _ k i2 t c a2 k a m _ w i3 ŋ _ k aː n _ k u2 s o5 n _ tʰ iː3 _ c a2 _ c a2 t _ kʰ ɯ3 n _ n a j _ d ɯːa n _ n aː3 _ r ɯː5 m a3 j,ɑːɹ _ j uː _ ɪ n t ɹ ə s t ᵻ d _ ɪ n _ dʒ ɔɪ n ɪ ŋ _ ð ə _ tʃ æ ɹ ɪ ɾ i _ ɹ ʌ n _ ð æ t _ w ɪ l _ b iː _ h ɛ l d _ n ɛ k s t _ m ʌ n θ ?
เขาตื่นเต้นมากที่จะได้เริ่มงานใหม่ที่บริษัทชั้นนำระดับโลก,He is very excited to start his new job at a leading global company,kʰ a5 w _ t ɯː2 n t eː3 n _ m aː3 k _ tʰ iː3 _ c a2 _ d aː3 j _ r ɤː3 m _ ŋ aː n _ m a2 j _ tʰ iː3 _ b ᴐː r i4 s a2 t _ cʰ a4 n n a m _ r a4 d a2 p l oː3 k,h iː _ ɪ z _ v ɛ ɹ i _ ɛ k s aɪ ɾ ᵻ d _ t ə _ s t ɑːɹ t _ h ɪ z _ n uː _ dʒ ɑː b _ æ ɾ ə _ l iː d ɪ ŋ _ ɡ l oʊ b əl _ k ʌ m p ə n i
ในช่วงวันหยุดยาวนี้ ฉันวางแผนที่จะไปเยี่ยมญาติที่ต่างจังหวัด,"During this long holiday, I plan to visit relatives in the countryside",n a j _ cʰ uːa3 ŋ _ w a n j u2 t j aː w _ n iː4 _ cʰ a5 n _ w aː ŋ pʰ ɛː5 n _ tʰ iː3 _ c a2 _ p a j _ j iːa3 m _ j aː3 t _ tʰ iː3 _ t aː2 ŋ c a ŋ w a2 t,"d ʊ ɹ ɪ ŋ _ ð ɪ s _ l ɑː ŋ _ h ɑː l ɪ d eɪ , _ aɪ _ p l æ n _ t ə _ v ɪ z ɪ t _ ɹ ɛ l ə t ɪ v z _ ɪ n ð ə _ k ʌ n t ɹ ɪ s aɪ d"
เธอพูดภาษาอังกฤษได้คล่องมาก เพราะเคยอาศัยอยู่ต่างประเทศหลายปี,She speaks English very fluently because she lived abroad for many years,tʰ ɤː _ pʰ uː3 t _ pʰ aː s aː5 _ ʔ a ŋ kr i2 t _ d aː3 j _ kʰl ᴐː3 ŋ _ m aː3 k _ pʰr ᴐ4 _ kʰ ɤː j _ ʔ aː s a5 j j uː2 _ t aː2 ŋ pr a2 tʰ eː3 t _ l aː5 j _ p iː,ʃ iː _ s p iː k s _ ɪ ŋ ɡ l ɪ ʃ _ v ɛ ɹ i _ f l uː ə n t l i _ b ɪ k ʌ z _ ʃ iː _ l ɪ v d _ ɐ b ɹ ɔː d _ f ɔːɹ _ m ɛ n i _ j ɪɹ z
ฉันต้องการซื้อคอมพิวเตอร์เครื่องใหม่ แต่ยังตัดสินใจไม่ได้ว่าจะเลือกยี่ห้อไหน,I want to buy a new computer but haven't decided which brand to choose,cʰ a5 n _ t ᴐː3 ŋ k aː n _ s ɯː4 _ kʰ ᴐː m pʰ i w t ɤː3 _ kʰr ɯːa3 ŋ _ m a2 j _ t ɛː2 _ j a ŋ _ t a2 t s i5 n c a j _ m a3 j d aː3 j _ w aː3 _ c a2 _ l ɯːa3 k _ j iː3 h ᴐː3 _ n a5 j,aɪ _ w ɑː n t _ t ə _ b aɪ _ ɐ _ n uː _ k ə m p j uː ɾ ɚ _ b ʌ t _ h æ v ə n t _ d ᵻ s aɪ d ᵻ d _ w ɪ tʃ _ b ɹ æ n d _ t ə _ tʃ uː z
หากเราร่วมมือกันทำงานนี้ ฉันเชื่อว่าเราจะทำได้ดีกว่าทำคนเดียว,"If we collaborate on this task, I believe we can do better than working alone",h aː2 k _ r a w _ r uːa3 m m ɯː _ k a n _ tʰ a m ŋ aː n _ n iː4 _ cʰ a5 n _ cʰ ɯːa3 _ w aː3 _ r a w _ c a2 _ tʰ a m d aː3 j _ d iː _ kw aː2 _ tʰ a m _ kʰ o n _ d iːa w,"ɪ f _ w iː _ k ə l æ b ɚ ɹ eɪ t _ ɑː n _ ð ɪ s _ t æ s k , _ aɪ _ b ɪ l iː v _ w iː _ k æ n _ d uː _ b ɛ ɾ ɚ _ ð ɐ n _ w ɜː k ɪ ŋ _ ɐ l oʊ n"
คุณคิดว่าอย่างไรเกี่ยวกับภาพยนตร์เรื่องใหม่ที่เพิ่งเข้าฉาย,What do you think about the new movie that just premiered?,kʰ u n _ kʰ i4 t _ w aː3 _ j aː2 ŋ r a j _ k iːa2 w k a2 p _ pʰ aː3 p pʰ a4 j o n _ r ɯːa3 ŋ _ m a2 j _ tʰ iː3 _ pʰ ɤː3 ŋ _ kʰ a3 w _ cʰ aː5 j,w ʌ t _ d uː _ j uː _ θ ɪ ŋ k _ ɐ b aʊ t _ ð ə _ n uː _ m uː v i _ ð æ t _ dʒ ʌ s t _ p ɹ ə m ɪɹ d ?
การเรียนภาษาใหม่ต้องใช้ความพยายามและการฝึกฝนอย่างสม่ำเสมอ,Learning a new language requires effort and consistent practice,k aː n _ r iːa n _ pʰ aː s aː5 _ m a2 j _ t ᴐː3 ŋ _ cʰ a4 j _ kʰw aː m pʰ a4 j aː j aː m _ l ɛ4 _ k aː n _ f ɯ2 k f o5 n _ j aː2 ŋ _ s a2 m a2 m s a2 m ɤː5,l ɜː n ɪ ŋ _ ɐ _ n uː _ l æ ŋ ɡ w ɪ dʒ _ ɹ ɪ k w aɪɚ z _ ɛ f ɚ t _ æ n d _ k ə n s ɪ s t ə n t _ p ɹ æ k t ɪ s
