thai sentence,thai phoneme
กลับหัวกลับหางเอาเคล็ดแต่เช้ามืดก็ตามแต่ไม่เชื่ออย่าลบหลู่ฝนหยุดแดดออกเป็นครั้งแรกในรอบสี่ถึงห้าวันที่ผ่านมา,kl a2 p h uːa5 kl a2 p h aː5 ŋ _ ʔ a w _ kʰl e4 t _ t ɛː2 _ cʰ a4 w m ɯː3 t _ k ᴐː3 t aː m _ t ɛː2 _ m a3 j _ cʰ ɯːa3 _ j aː2 _ l o4 p l uː2 _ f o5 n _ j u2 t _ d ɛː2 t ʔ ᴐː2 k _ p e n _ kʰr a4 ŋ r ɛː3 k _ n a j _ r ᴐː3 p _ s iː2 _ tʰ ɯ5 ŋ _ h aː3 _ w a n _ tʰ iː3 pʰ aː2 n m aː
สำนักงานนโยบายและแผนสิ่งแวดล้อมได้ขอตั้งงบค่อนข้างเยอะรวมหนึ่งหมื่นสี่พันสิบล้านบาท,s a5 m n a4 k ŋ aː n n a4 j oː b aː j l ɛ4 pʰ ɛː5 n s i2 ŋ w ɛː3 t l ᴐː4 m _ d aː3 j _ kʰ ᴐː5 _ t a3 ŋ _ ŋ o4 p _ kʰ ᴐː3 n kʰ aː3 ŋ _ j ɤ4 _ r uːa m _ n ɯ2 ŋ _ m ɯː2 n _ s iː2 _ pʰ a n _ s i2 p _ l aː4 n _ b aː2 t
เมียท้าผัวชาวไร่หย่าวันวาเลนไทน์ตบเปรี้ยงเดียวตาย,m iːa _ tʰ aː4 _ pʰ uːa5 _ cʰ aː w r a3 j _ j aː2 _ w a n _ w aː l eː n tʰ a j _ t o2 p _ pr iːa3 ŋ _ d iːa w _ t aː j
บ้านอยู่ซอยเอกชัยเก้าสิบสี่ถนนเอกชัยบางบอนกรุงเทพมหานคร,b aː3 n _ j uː2 _ s ᴐː j _ ʔ eː2 k k a2 cʰ a j _ k a3 w _ s i2 p _ s iː2 _ tʰ a2 n o5 n _ ʔ eː2 k k a2 cʰ a j _ b aː ŋ b ᴐː n _ kr u ŋ tʰ eː3 p m a4 h aː5 n a4 kʰ ᴐː n
มหานครโดยก่อนหน้านั้นนายกวินมากับกรุ๊ปทัวร์สมาคมหนึ่งร้อย,m a4 h aː5 n a4 kʰ ᴐː n _ d oː j _ k ᴐː2 n n aː3 _ n a4 n _ n aː j _ k a2 w i n _ m aː _ k a2 p _ k a2 r u4 p _ tʰ uːa _ s a2 m aː kʰ o m _ n ɯ2 ŋ _ r ᴐː4 j
ปรากฏว่าพลายงาทองแท้เกิดอาการคึกคะนองสุดขีดแสดงลีลาพลังช้างฟิตจัดขึ้นทับช้างสาวสองเชือกซ้อนพร้อมส่งเสียงร้องแปร๋แปร๋น,pr aː k o2 t _ w aː3 _ pʰl aː j _ ŋ aː _ tʰ ᴐː ŋ _ tʰ ɛː4 _ k ɤː2 t _ ʔ aː k aː n _ kʰ ɯ4 k kʰ a4 n ᴐː ŋ _ s u2 t kʰ iː2 t _ s a2 d ɛː ŋ _ l iː l aː _ pʰ a4 l a ŋ _ cʰ aː4 ŋ _ f i4 t _ c a2 t _ kʰ ɯ3 n _ tʰ a4 p _ cʰ aː4 ŋ _ s aː5 w _ s ᴐː5 ŋ _ cʰ ɯːa3 k _ s ᴐː4 n _ pʰr ᴐː4 m _ s o2 ŋ s iːa5 ŋ _ r ᴐː4 ŋ _ pr ɛː5 _ pr ɛː5 n
จึงอยากได้รายได้อันนี้จึงตกลงให้บริการแก่ทราฟิกูร่าแต่ไม่ได้ทำสัญญา,c ɯ ŋ _ j aː2 k _ d aː3 j _ r aː j d aː3 j _ ʔ a n _ n iː4 _ c ɯ ŋ _ t o2 k l o ŋ _ h a3 j _ b ᴐː r i4 k aː n _ k ɛː2 _ tʰr aː _ f i4 _ k uː _ r aː3 _ t ɛː2 _ m a3 j d aː3 j _ tʰ a m s a5 n j aː
สัญญากันในลักษณะดังกล่าวแต่ได้ทำสัญญาซื้อและขายคืนอย่างละฉบับ,s a5 n j aː _ k a n _ n a j _ l a4 k s a2 n a2 _ d a ŋ kl aː2 w _ t ɛː2 _ d aː3 j _ tʰ a m s a5 n j aː _ s ɯː4 _ l ɛ4 _ kʰ aː5 j _ kʰ ɯː n _ j aː2 ŋ _ l a4 _ cʰ a2 b a2 p
สุริยะเพิ่งตื่นสั่งวิเศษบี้ไทยลู้บเบสปลดผู้บริหารสอบทุจริต,s u2 r i4 j a4 _ pʰ ɤː3 ŋ _ t ɯː2 n _ s a2 ŋ _ w i4 s eː2 t _ b iː3 _ tʰ a j _ l uː4 p _ b eː2 t _ pl o2 t _ pʰ uː3 b ᴐː r i4 h aː5 n _ s ᴐː2 p _ tʰ u4 t c a2 r i2 t
ตอนนี้น้องพุ่มดีขึ้นมากสำหรับโรคออติสติกเวลาเป็นแล้วจะมีปัญหามาเรื่อยเรื่อยเดี๋ยวเป็นโน่นเดี๋ยวเป็นนี่,t ᴐː n n iː4 _ n ᴐː4 ŋ _ pʰ u3 m _ d iː _ kʰ ɯ3 n _ m aː3 k _ s a5 m r a2 p _ r oː3 k _ ʔ ᴐː _ t i2 _ s a2 t i2 k _ w eː l aː _ p e n _ l ɛː4 w _ c a2 _ m iː _ p a n h aː5 _ m aː _ r ɯːa3 j _ r ɯːa3 j _ d iːa5 w _ p e n _ n oː3 n _ d iːa5 w _ p e n _ n iː3
และนางสาวเทรซีแอนน์มาลีนนท์จำนวนเจ็ดล้านแปดแสนห้าหมื่นเจ็ดพันหุ้นหรือสามจุดเก้าสามเปอร์เซ็นต์,l ɛ4 _ n aː ŋ s aː5 w _ tʰ eː n _ s iː _ ʔ ɛː n _ m aː l iː _ n o n _ c a m n uːa n _ c e2 t _ l aː4 n _ p ɛː2 t _ s ɛː5 n _ h aː3 _ m ɯː2 n _ c e2 t _ pʰ a n _ h u3 n _ r ɯː5 _ s aː5 m _ c u2 t _ k a3 w _ s aː5 m _ p ɤː s e n
พร้อมบันทึกเทปรายการโทรทัศน์นี่แหละชีวิตตอนพิเศษ,pʰr ᴐː4 m _ b a n tʰ ɯ4 k _ tʰ eː4 p _ r aː j k aː n tʰ oː r a4 tʰ a4 t _ n iː3 l ɛ2 _ cʰ iː w i4 t _ t ᴐː n _ pʰ i4 s eː2 t
พิเศษแกะรอยชีวิตของนายกรัฐมนตรีที่ชื่อพันตำรวจโททักษิณชินวัตร,pʰ i4 s eː2 t _ k ɛ2 r ᴐː j _ cʰ iː w i4 t _ kʰ ᴐː5 ŋ _ n aː j o4 k r a4 t tʰ a2 m o n tr iː _ tʰ iː3 _ cʰ ɯː3 _ pʰ a n t a m r uːa2 t tʰ oː _ tʰ a4 k s i5 n _ cʰ i n n a4 w a4 t
หรือการนำดอกไม้หน้าบ้านดอกหญ้าที่ขึ้นริมรั้วดอกเฟื่องฟ้าก็สามารถนำมาประดับแบบสบายสบาย,r ɯː5 _ k aː n _ n a m _ d ᴐː2 k m aː4 j _ n aː3 _ b aː3 n _ d ᴐː2 k _ j aː3 _ tʰ iː3 _ kʰ ɯ3 n _ r i m _ r uːa4 _ d ᴐː2 k _ f ɯːa3 ŋ f aː4 _ k ᴐː3 _ s aː5 m aː3 t _ n a m _ m aː _ pr a2 d a2 p _ b ɛː2 p _ s a2 b aː j _ s a2 b aː j
พันตำรวจโททักษิณตอบว่ารัฐบาลมีด็อกเตอร์หลายคนเรียนมาเยอะทำงานเยอะไม่ใช่ไม่ฟังใคร,pʰ a n t a m r uːa2 t tʰ oː _ tʰ a4 k s i5 n _ t ᴐː2 p _ w aː3 _ r a4 t tʰ a2 b aː n _ m iː _ d ᴐ2 k t ɤː3 _ l aː5 j _ kʰ o n _ r iːa n _ m aː _ j ɤ4 _ tʰ a m ŋ aː n _ j ɤ4 _ m a3 j cʰ a3 j _ m a3 j _ f a ŋ _ kʰr a j
ไม่ใช่ว่าเสกคาถาเปรี้ยงแล้วพรุ่งนี้รวยกันทุกคนทำได้ที่ไหน,m a3 j cʰ a3 j w aː3 _ s eː2 k kʰ aː tʰ aː5 _ pr iːa3 ŋ _ l ɛː4 w _ pʰr u3 ŋ n iː4 _ r uːa j _ k a n _ tʰ u4 k _ kʰ o n _ tʰ a m d aː3 j _ tʰ iː3 n a5 j
ไหนบางคนอ่านหนังสือเยอะแต่ไม่ค่อยได้ทำรัฐบาลทำมาตลอด,n a5 j _ b aː ŋ _ kʰ o n _ ʔ aː2 n n a5 ŋ s ɯː5 _ j ɤ4 _ t ɛː2 _ m a3 j kʰ ᴐː3 j _ d aː3 j _ tʰ a m _ r a4 t tʰ a2 b aː n _ tʰ a m _ m aː _ t a2 l ᴐː2 t
ขณะที่รถด่วนสปรินเตอร์ขบวนที่เจ็ดจำนวนสามโบกี้วิ่งระหว่างกรุงเทพสวรรค,kʰ a2 n a2 tʰ iː3 _ r o4 t d uːa2 n _ s o2 p _ r i n _ t ɤː3 _ kʰ a2 b uːa n _ tʰ iː3 _ c e2 t _ c a m n uːa n _ s aː5 m _ b oː k iː3 _ w i3 ŋ _ r a4 w aː2 ŋ _ kr u ŋ tʰ eː3 p _ s a2 w a5 n kʰ a4
สวรรคจะวิ่งเข้าบริเวณสถานีรถไฟบ้านเต็งหนามหมู่แปด,s a2 w a5 n kʰ a4 _ c a2 _ w i3 ŋ _ kʰ a3 w _ b ᴐː r i4 w eː n _ s a2 tʰ aː5 n iː r o4 t f a j _ b aː3 n _ t e ŋ _ n aː5 m _ m uː2 _ p ɛː2 t
ผมไม่รู้ว่าโชคดีหรือโชคไม่ดีที่รู้เยอะปฏิรูปการศึกษาเลยช้าเวลาสัมมนาก็มักจะเลือกเฉพาะคนที่พูดภาษาเดียวกันมา,pʰ o5 m _ m a3 j _ r uː4 _ w aː3 _ cʰ oː3 k d iː _ r ɯː5 _ cʰ oː3 k _ m a3 j _ d iː _ tʰ iː3 _ r uː4 _ j ɤ4 _ p a2 t i2 r uː3 p _ k aː n s ɯ2 k s aː5 _ l ɤː j _ cʰ aː4 _ w eː l aː _ s a5 m m a4 n aː _ k ᴐː3 _ m a4 k _ c a2 _ l ɯːa3 k _ cʰ a2 pʰ ᴐ4 _ kʰ o n _ tʰ iː3 _ pʰ uː3 t _ pʰ aː s aː5 _ d iːa w k a n _ m aː
และทางสโมสรเกรงไม่รอดชีวิตกลับมาและมีการยืนยันมา,l ɛ4 _ tʰ aː ŋ _ s a2 m oː s ᴐː5 n _ kr eː ŋ _ m a3 j _ r ᴐː3 t cʰ iː w i4 t _ kl a2 p _ m aː _ l ɛ4 _ m iː _ k aː n _ j ɯː n j a n _ m aː
มาแล้วว่านักกีฬาห้าคนของทีมรักบี้คูกีดอลฟินส์ในซิดนีย์เสียชีวิตแล้ว,m aː _ l ɛː4 w _ w aː3 _ n a4 k k iː l aː _ h aː3 _ kʰ o n _ kʰ ᴐː5 ŋ _ tʰ iː m _ r a4 k b iː3 _ kʰ uː _ k iː _ d ᴐː n _ f i n _ n a j _ s i4 t n iː _ s iːa5 cʰ iː w i4 t _ l ɛː4 w
นอนตายบนเตียงในห้องนอนชั้นล่างมีบาดแผลถูกฟันลำคอเป็นแผลเหวอะแก้มซ้ายขวามีรอยฟันนับสิบแผลรวมทั้งศีรษะอีกหลายแผล,n ᴐː n _ t aː j _ b o n _ t iːa ŋ _ n a j _ h ᴐː3 ŋ n ᴐː n _ cʰ a4 n l aː3 ŋ _ m iː _ b aː2 t pʰ ɛː5 n _ tʰ uː2 k _ f a n _ l a m kʰ ᴐː _ p e n _ pʰ ɛː5 n _ w ɤ2 _ k ɛː3 m _ s aː4 j _ kʰw aː5 _ m iː _ r ᴐː j _ f a n _ n a4 p _ s i2 p _ pʰ ɛː5 n _ r uːa m tʰ a4 ŋ _ s iː5 s a2 _ ʔ iː2 k _ l aː5 j _ pʰ ɛː5 n
สร้อยคอทองคำสองเส้นสร้อยข้อมือหนึ่งเส้นพระเลี่ยมทองหนึ่งองค์ตุ้มหูฝังเพชรหนึ่งคู่แหวนฝังเพชรสามวง,s ᴐː3 j kʰ ᴐː _ tʰ ᴐː ŋ kʰ a m _ s ᴐː5 ŋ _ s eː3 n _ s ᴐː3 j kʰ ᴐː3 m ɯː _ n ɯ2 ŋ _ s eː3 n _ pʰr a4 _ l iːa3 m _ tʰ ᴐː ŋ _ n ɯ2 ŋ _ ʔ o ŋ _ t u3 m h uː5 _ f a5 ŋ pʰ e4 t _ n ɯ2 ŋ _ kʰ uː3 _ w ɛː5 n _ f a5 ŋ pʰ e4 t _ s aː5 m _ w o ŋ
ด้านพรีเซ็นเตอร์กิตติมศักดิ์เกรซมหาดำรงค์กุลเผยถึงเหตุที่เข้าร่วมรณรงค์ต่อต้านมะเร็งเต้านมว่า,d aː3 n _ pʰr iː _ s e n t ɤː3 _ k i2 t t i m s a2 k _ k a2 r eː2 t _ m a4 h aː5 _ d a m _ r o ŋ _ k u n _ pʰ ɤː5 j _ tʰ ɯ5 ŋ _ h eː2 t _ tʰ iː3 _ kʰ a3 w _ r uːa3 m _ r o n n a4 r o ŋ _ t ᴐː2 t aː3 n _ m a4 r e ŋ _ t a3 w n o m _ w aː3
เดี๋ยวพี่โทรศัพท์ไปคุยกับหลวงพ่อให้ท่านยอมรับแล้วแป๋วจะไม่เอาเรื่องเอาราวอะไร,d iːa5 w _ pʰ iː3 _ tʰ oː r a4 s a2 p _ p a j _ kʰ u j _ k a2 p _ l uːa5 ŋ pʰ ᴐː3 _ h a3 j _ tʰ a3 n _ j ᴐː m r a4 p _ l ɛː4 w _ p ɛː5 w _ c a2 _ m a3 j _ ʔ a w r ɯːa3 ŋ _ ʔ a w _ r aː w _ ʔ a2 r a j
อะไรสีกานิดตอบต่อแน่ใจนะแป๋วสัญญากับตัวเองแล้ว,ʔ a2 r a j _ s iː5 k aː _ n i4 t _ t ᴐː2 p _ t ᴐː2 _ n ɛː3 c a j _ n a4 _ p ɛː5 w _ s a5 n j aː _ k a2 p _ t uːa ʔ eː ŋ _ l ɛː4 w
ความรักของโรมิโอจูเลียตก็ไม่สามารถเปรียบเทียบกับความรักของเราทั้งคู่ได้,kʰw aː m r a4 k _ kʰ ᴐː5 ŋ _ r oː _ m i4 _ ʔ oː _ c uː _ l iːa3 t _ k ᴐː3 _ m a3 j _ s aː5 m aː3 t _ pr iːa2 p tʰ iːa3 p _ k a2 p _ kʰw aː m r a4 k _ kʰ ᴐː5 ŋ _ r a w _ tʰ a4 ŋ kʰ uː3 _ d aː3 j
แต่เตรียมการมันยังไม่เห็นผลเราเตรียมการไปเยอะก็ทำไปแล้วหลายอย่าง,t ɛː2 _ tr iːa m k aː n _ m a n _ j a ŋ _ m a3 j _ h e5 n _ pʰ o5 n _ r a w _ tr iːa m k aː n _ p a j _ j ɤ4 _ k ᴐː3 _ tʰ a m _ p a j _ l ɛː4 w _ l aː5 j _ j aː2 ŋ
เหยื่อกามแฉอุ๊เซียนบอล,j ɯːa2 _ k aː m _ cʰ ɛː5 _ ʔ u4 _ s iːa n _ b ᴐː n
ก็ต้องหอบกันขึ้นรถไปหาปั๊มน้ำมันที่อยู่ใกล้ที่สุดเฮ้อเวทีนี้ทรมาน,k ᴐː3 _ t ᴐː3 ŋ _ h ᴐː2 p _ k a n _ kʰ ɯ3 n r o4 t _ p a j _ h aː5 _ p a4 m n aː4 m m a n _ tʰ iː3 j uː2 _ kl a3 j _ tʰ iː3 s u2 t _ h ɤː4 _ w eː tʰ iː _ n iː4 _ tʰ ᴐː r a4 m aː n
นายโธมัสเบอร์เนตต์จูเนียร์ได้โทรศัพท์หานางเบอร์เนตต์ภรรยาเล่าว่าเกิดเหตุการณ์จี้เครื่องบิน,n aː j _ tʰ oː m a4 t _ b ɤː n eː3 t _ c uː n iːa _ d aː3 j _ tʰ oː r a4 s a2 p _ h aː5 _ n aː ŋ _ b ɤː n eː3 t _ pʰ a n j aː _ l a3 w _ w aː3 _ k ɤː2 t _ h eː2 t k aː n _ c iː3 kʰr ɯːa3 ŋ b i n
นางเบอร์เนตต์ต้องทรุดเข่าลงสะอื้นไห้อย่างน่าเวทนา,n aː ŋ _ b ɤː n eː3 t _ t ᴐː3 ŋ _ s u4 t _ kʰ a2 w _ l o ŋ _ s a2 ʔ ɯː3 n _ h a3 j _ j aː2 ŋ _ n aː3 w eː tʰ a4 n aː
ว่าพระบาทสมเด็จพระเจ้าอยู่หัวได้มีพระราชโทรสารแสดงความเสียพระราชหฤทัย,w aː3 _ pʰr a4 b aː2 t s o5 m d e2 t pʰr a4 c aː3 w j uː2 h uːa5 _ d aː3 j _ m iː _ pʰr a4 _ r aː3 t _ tʰ oː r a4 s aː5 n _ s a2 d ɛː ŋ _ kʰw aː m _ s iːa5 _ pʰr a4 r aː3 t cʰ a4 h a2 r ɯ4 tʰ a j
ในวันที่สิบสี่กันยายนเหรียญทองเหรียญที่สามของทัพนักกีฬาไทยมาจากการแข่งขันกอล์ฟหญิง,n a j _ w a n tʰ iː3 _ s i2 p _ s iː2 _ k a n j aː j o n _ r iːa5 n tʰ ᴐː ŋ _ r iːa5 n _ tʰ iː3 _ s aː5 m _ kʰ ᴐː5 ŋ _ tʰ a4 p _ n a4 k k iː l aː _ tʰ a j _ m aː _ c aː2 k _ k aː n _ kʰ ɛː2 ŋ kʰ a5 n _ k ᴐː4 p _ j i5 ŋ
ในกรุงกัวลาลัมเปอร์นักกอล์ฟสาวไทยโชว์ผลงานยอดเยี่ยมคว้ามาได้ทั้งเหรียญทอง,n a j _ kr u ŋ _ k uːa l aː l a m p ɤː _ n a4 k _ k ᴐː4 p _ s aː5 w _ tʰ a j _ cʰ oː _ pʰ o5 n ŋ aː n _ j ᴐː3 t j iːa3 m _ kʰw aː4 _ m aː _ d aː3 j _ tʰ a4 ŋ _ r iːa5 n tʰ ᴐː ŋ
สำหรับเหรียญทองเหรียญที่ห้าของทีมกรีฑาไทยได้มาจากกระโดดไกลชาย,s a5 m r a2 p _ r iːa5 n tʰ ᴐː ŋ _ r iːa5 n _ tʰ iː3 _ h aː3 _ kʰ ᴐː5 ŋ _ tʰ iː m _ kr iː tʰ aː _ tʰ a j _ d aː3 j _ m aː _ c aː2 k _ kr a2 d oː2 t kl a j _ cʰ aː j
ก็คงจะมีเวลาไปตีกอล์ฟยิ่งช่วงนี้ยิ่งมือขึ้นอยู่,k ᴐː3 _ kʰ o ŋ c a2 _ m iː _ w eː l aː _ p a j _ t iː _ k ᴐː4 p _ j i3 ŋ _ cʰ uːa3 ŋ n iː4 _ j i3 ŋ _ m ɯː kʰ ɯ3 n _ j uː2
อย่าลงข่าวให้เกิดความไขว้เขวคำสั่งของผู้บังคับบัญชาเป็นสิ่งที่ทหารต้องรับมาปฏิบัติ,j aː2 _ l o ŋ kʰ aː2 w _ h a3 j _ k ɤː2 t _ kʰw aː m kʰw a3 j kʰ eː5 w _ kʰ a m s a2 ŋ _ kʰ ᴐː5 ŋ _ pʰ uː3 b a ŋ kʰ a4 p b a n cʰ aː _ p e n _ s i2 ŋ _ tʰ iː3 _ tʰ a4 h aː5 n _ t ᴐː3 ŋ _ r a4 p _ m aː _ p a2 t i2 b a2 t
ฆ่าเด็กอีกแล้วมัดถ่วงน้ำฝ่าเท้าโผล่ฟ้อง,kʰ aː3 _ d e2 k _ ʔ iː2 k l ɛː4 w _ m a4 t _ tʰ uːa2 ŋ n aː4 m _ f aː2 tʰ aː4 w _ pʰl oː2 _ f ᴐː4 ŋ
ด้วยความสงสัยจึงใช้ไม้เขี่ยจนกระดาษโบ๋เป็นรู,d uːa3 j _ kʰw aː m s o5 ŋ s a5 j _ c ɯ ŋ _ cʰ a4 j _ m aː4 j _ kʰ iːa2 _ c o n _ kr a2 d aː2 t _ b oː5 _ p e n _ r uː
ดังกล่าวคณะกรรมาธิการรุมดักคอฮั้วกรมทางหลวง,d a ŋ kl aː2 w _ kʰ a4 n a4 k a n m aː tʰ i4 k aː n _ r u m _ d a2 k kʰ ᴐː _ h a4 w _ kr o m tʰ aː ŋ l uːa5 ŋ
เสี่ยซวยโยนอาหารให้ปลาแหวนเพชรห้าแสนหล่นตุ๋ม,s iːa2 _ s uːa j _ j oː n _ ʔ aː h aː5 n _ h a3 j _ pl aː _ w ɛː5 n _ pʰ e4 t _ h aː3 _ s ɛː5 n _ l o2 n _ t u5 m
ทำตัวเกเรเงินทองที่พ่อแม่ส่งเสียให้เรียนหนังสือก็เอาไปเที่ยวเตร่มั่วสุมเสพยาบ้าจนหมด,tʰ a m t uːa _ k eː r eː _ ŋ ɤ n tʰ ᴐː ŋ _ tʰ iː3 _ pʰ ᴐː3 m ɛː3 _ s o2 ŋ s iːa5 _ h a3 j _ r iːa n n a5 ŋ s ɯː5 _ k ᴐː3 _ ʔ a w _ p a j _ tʰ iːa3 w tr eː2 _ m uːa3 s u5 m _ s eː5 pʰ a4 j aː _ b aː3 _ c o n _ m o2 t
ซึ่งอยากให้พลตรีสนั่นหยุดเคลื่อนไหวเรื่องนี้เสียเถอะรวมพรรคยังไม่คืบหน้า,s ɯ3 ŋ _ j aː2 k _ h a3 j _ pʰ o n tr iː _ s a2 n a2 n _ j u2 t _ kʰl ɯːa3 n w a5 j _ r ɯːa3 ŋ _ n iː4 _ s iːa5 tʰ ɤ2 _ r uːa m _ pʰ a4 k _ j a ŋ _ m a3 j _ kʰ ɯː3 p n aː3
บางโต๊ะนั่งดื่มสุราสูบบุหรี่ควันโขมงเมื่อเห็นตำรวจกลุ่มเยาวชนแตกตื่นตกใจ,b aː ŋ _ t o4 _ n a3 ŋ _ d ɯː2 m _ s u2 r aː _ s uː2 p b u2 r iː2 _ kʰw a n kʰ a2 m oː5 ŋ _ m ɯːa3 _ h e5 n _ t a m r uːa2 t _ kl u2 m _ j a w w a4 cʰ o n _ t ɛː2 k t ɯː2 n _ t o2 k c a j
แถลงข่าวแบบไม่มีปี่มีขลุ่ยทันทีลุ้นเชียงใหม่เป็นศูนย์กลางการบิน,tʰ a2 l ɛː5 ŋ kʰ aː2 w _ b ɛː2 p _ m a3 j _ m iː _ p iː2 _ m iː _ kʰl u2 j _ tʰ a n tʰ iː _ l u4 n _ cʰ iːa ŋ m a2 j _ p e n _ s uː5 n kl aː ŋ _ k aː n b i n
ซึ่งเมื่อพลเอกเชษฐาขริบผมให้ผู้อุปสมบททั้งห้าสิบเอ็ดคนแล้ว,s ɯ3 ŋ _ m ɯːa3 _ pʰ o n ʔ eː2 k _ cʰ eː3 t tʰ aː5 _ kʰr i2 p _ pʰ o5 m _ h a3 j _ pʰ uː3 _ ʔ u2 p a2 s o5 m b o2 t _ tʰ a4 ŋ _ h aː3 _ s i2 p _ ʔ e2 t _ kʰ o n _ l ɛː4 w
บะหมี่หกหมื่นสองพันห้าร้อยถ้วยพลเรือโทพีรจิต์นายเกรียงไกรนางภรณีสุรักขกะข้าวสารสามสิบถุง,b a2 m iː2 _ h o2 k _ m ɯː2 n _ s ᴐː5 ŋ _ pʰ a n _ h aː3 _ r ᴐː4 j _ tʰ uːa3 j _ pʰ o n r ɯːa tʰ oː _ pʰ iː _ r a4 c i2 _ n aː j _ kr iːa ŋ kr a j _ n aː ŋ _ pʰ a4 r a4 n iː _ s u2 _ r a4 k kʰ a2 _ k a2 _ kʰ aː3 w s aː5 n _ s aː5 m _ s i2 p _ tʰ u5 ŋ
แล้วพลิกตกรางบริเวณทางตัดรถไฟบ้านบางไทรย้อยตัดกับถนนสายบางไทรย้อยพุหวาย,l ɛː4 w _ pʰl i4 k _ t o2 k _ r aː ŋ _ b ᴐː r i4 w eː n _ tʰ aː ŋ _ t a2 t _ r o4 t f a j _ b aː3 n _ b aː ŋ _ s a j _ j ᴐː4 j _ t a2 t _ k a2 p _ tʰ a2 n o5 n _ s aː5 j _ b aː ŋ _ s a j _ j ᴐː4 j _ pʰ u4 _ w aː5 j
สถานการณ์ของกลุ่มนี้บราซิลลงแข่งสองนัดชนะสองนัด,s a2 tʰ aː5 n a4 k aː n _ kʰ ᴐː5 ŋ _ kl u2 m _ n iː4 _ br aː s i n _ l o ŋ _ kʰ ɛː2 ŋ _ s ᴐː5 ŋ _ n a4 t _ cʰ a4 n a4 _ s ᴐː5 ŋ _ n a4 t
ตุรกีเปลี่ยนตัวเอาเตย์ฟูร์ฮาวุดคูเข้าไปแทนเคริโมกลู,t u2 r a4 k iː _ pl iːa2 n t uːa _ ʔ a w _ t eː _ f uː _ h aː _ w u4 t _ kʰ uː _ kʰ a3 w _ p a j _ tʰ ɛː n _ kʰ eː _ r i4 _ m oː _ kl uː
เอ็ดมิลสันซึ่งถลันตัวหันหลังให้ประตูไปแล้วกระโดดเอี้ยวตัววอลเลย์แบบจักรยานอากาศ,ʔ e2 t _ m i n _ s a5 n _ s ɯ3 ŋ _ tʰ a2 l a5 n _ t uːa _ h a5 n l a5 ŋ _ h a3 j _ pr a2 t uː _ p a j _ l ɛː4 w _ kr a2 d oː2 t _ ʔ iːa3 w _ t uːa _ w ᴐː n l eː _ b ɛː2 p _ c a2 k kr a2 j aː n _ ʔ aː k aː2 t
ขณะที่จิอันลูกาซัมบรอตตากองกลางของทีมมะกะโรนีได้กล่าวขอบคุณเดลปิเอโรเป็นพิเศษ,kʰ a2 n a2 tʰ iː3 _ c i2 _ ʔ a n _ l uː _ k aː _ s a m _ br ᴐː2 t _ t aː _ k ᴐː ŋ kl aː ŋ _ kʰ ᴐː5 ŋ _ tʰ iː m _ m a4 k a2 r oː n iː _ d aː3 j _ kl aː2 w _ kʰ ᴐː2 p kʰ u n _ d eː n _ p i2 _ ʔ eː _ r oː _ p e n _ pʰ i4 s eː2 t
โดยคุณชายถนัดศรีตั้งชื่อให้ใหม่เก๋ไก๋ว่าพิซซ่าข้าวกล้อง,d oː j _ kʰ u n cʰ aː j _ tʰ a2 n a2 t _ s iː5 _ t a3 ŋ cʰ ɯː3 _ h a3 j _ m a2 j _ k eː5 _ k a5 j _ w aː3 _ pʰ i4 t _ s aː3 _ kʰ aː3 w kl ᴐː3 ŋ
เสี่ยกรัมบงการใช้วิธีไฮเทคนายตำรวจท่านเดิมกล่าวถึงขั้นตอนการล็อกเลข,s iːa2 _ kr a m _ b o ŋ k aː n _ cʰ a4 j _ w i4 tʰ iː _ h a j tʰ eː4 k _ n aː j t a m r uːa2 t _ tʰ a3 n _ d ɤː m _ kl aː2 w tʰ ɯ5 ŋ _ kʰ a3 n t ᴐː n _ k aː n _ l ᴐ4 k _ l eː3 k
ได้ยินเสียงสัญญาณเตือนภัยจึงวิ่งไปดูเห็นกลุ่มควันพลุ่งออกมาจากห้องที่เกิดเหตุ,d aː3 j j i n _ s iːa5 ŋ s a5 n j aː n _ t ɯːa n pʰ a j _ c ɯ ŋ _ w i3 ŋ _ p a j _ d uː _ h e5 n _ kl u2 m _ kʰw a n _ pʰl u3 ŋ _ ʔ ᴐː2 k _ m aː _ c aː2 k _ h ᴐː3 ŋ _ tʰ iː3 k ɤː2 t h eː2 t
หลานเซียะรับดูแลตลกหนูจากชีวิตที่พลิกผันของตลกชื่อดัง,l aː5 n _ s ia3 _ r a4 p _ d uː l ɛː _ t a2 l o2 k _ n uː5 _ c aː2 k _ cʰ iː w i4 t _ tʰ iː3 _ pʰl i4 k pʰ a5 n _ kʰ ᴐː5 ŋ _ t a2 l o2 k _ cʰ ɯː3 d a ŋ
แต่เท่าที่คุยกับกองประกวดบอกไม่ต้องดร็อปการเรียน,t ɛː2 _ tʰ a3 w tʰ iː3 _ kʰ u j _ k a2 p _ k ᴐː ŋ _ pr a2 k uːa2 t _ b ᴐː2 k _ m a3 j _ t ᴐː3 ŋ _ dr ᴐ2 p _ k aː n _ r iːa n
